category,name,initial_value,optimized_value,percent_change,initial_error,optimized_error,error_improvement_percent
parameter,Lg,1.00e-10,8.95e-11,-1.05e+01,,,
parameter,Rg,5.00e-01,9.29e-01,8.59e+01,,,
parameter,Cpg,4.00e-12,3.89e-12,-2.81e+00,,,
parameter,Rd,1.32e+00,1.87e-02,-9.86e+01,,,
parameter,Ld,9.90e-11,9.59e-11,-3.12e+00,,,
parameter,Cpd,4.42e-13,3.61e-13,-1.83e+01,,,
parameter,Rs,8.00e-02,1.17e-01,4.67e+01,,,
parameter,Ls,1.00e-12,1.95e-12,9.52e+01,,,
parameter,Cgs,3.93e-12,3.87e-12,-1.64e+00,,,
parameter,Cgd,2.44e-13,2.32e-13,-4.77e+00,,,
parameter,Rgs1,1.00e+04,8.55e+02,-9.15e+01,,,
parameter,Rgs2,2.32e+00,1.48e+00,-3.63e+01,,,
parameter,Rgd1,2.00e+06,3.35e+06,6.77e+01,,,
parameter,Rgd2,1.01e+01,1.21e+01,2.02e+01,,,
parameter,Cds,6.66e-13,7.21e-13,8.19e+00,,,
parameter,Rds,1.05e+02,1.14e+02,8.47e+00,,,
parameter,Gm,6.71e-01,6.71e-01,0.00e+00,,,
parameter,Td,3.83e-12,4.25e-12,1.11e+01,,,
sparameter_error,S11,,,,2.78e-02,1.15e-02,5.86e+01
sparameter_error,S12,,,,4.50e-02,1.31e-02,7.10e+01
sparameter_error,S21,,,,8.39e-02,1.13e-02,8.65e+01
sparameter_error,S22,,,,5.58e-02,2.07e-02,6.28e+01
overall_error,ALL,,,,5.69e-02,1.47e-02,7.42e+01
